name,date,observed,public,country,uuid,subdivisions,weekday_date_name,weekday_date_numeric,weekday_observed_name,weekday_observed_numeric
New Year's Day,2024-01-01,2024-01-01,True,NL,02b782ca-15a6-4ba3-b647-e2abbcb1c5d6,[],Monday,1,Monday,1
New Year's Day,2024-01-01,2024-01-01,True,GB,2e80d690-7510-44ed-b8f9-486c7ee1d25b,[],Monday,1,Monday,1
Second Day of the New Year,2024-01-02,2024-01-02,True,GB,d0b1fed7-b303-4b0c-97f5-9a6936d56040,['GB-SCT'],Tuesday,2,Tuesday,2
Valentine's Day,2024-02-14,2024-02-14,False,GB,e8def1c5-3a45-4cfc-8baa-a63d19d95c1a,[],Wednesday,3,Wednesday,3
Mother's Day,2024-03-10,2024-03-10,False,GB,5c6d362c-b4c6-4c5e-833a-4ec747ca1cc3,[],Sunday,7,Sunday,7
Saint Patrick's Day,2024-03-17,2024-03-18,True,GB,8bc86ec9-0bf2-4b85-9544-af787352a59c,['GB-NIR'],Sunday,7,Monday,1
March Equinox,2024-03-20,2024-03-20,False,NL,4576f8ec-f82c-4122-8275-73f7c6ae41e4,[],Wednesday,3,Wednesday,3
March Equinox,2024-03-20,2024-03-20,False,GB,22276834-e8db-46ca-ad0c-d2c909ce3ee7,[],Wednesday,3,Wednesday,3
Good Friday,2024-03-29,2024-03-29,True,NL,99c05e62-5dfe-445a-9383-3fdf473e1356,[],Friday,5,Friday,5
Good Friday,2024-03-29,2024-03-29,True,GB,b587ab15-2440-42dd-a861-43fbecbc8432,[],Friday,5,Friday,5
Easter,2024-03-31,2024-03-31,True,NL,206d71bc-0501-4608-933b-3f5c1ee3d20d,[],Sunday,7,Sunday,7
Easter,2024-03-31,2024-03-31,False,GB,e851accc-931c-457b-a975-bb566a21728d,[],Sunday,7,Sunday,7
Easter Monday,2024-04-01,2024-04-01,True,NL,20816196-42dc-447c-b02f-3071e9296280,[],Monday,1,Monday,1
Easter Monday,2024-04-01,2024-04-01,True,GB,b173434e-6155-45aa-ab64-da0e9fd9a62e,"['GB-ENG', 'GB-NIR', 'GB-WLS', 'GB-EAW']",Monday,1,Monday,1
Royal Day,2024-04-27,2024-04-27,True,NL,e76d4908-0169-4920-a70b-a5fe0aaed06a,[],Saturday,6,Saturday,6
Commemoration of the Dead,2024-05-04,2024-05-04,False,NL,e7caec4c-3474-4349-970f-49890ea1e6d2,[],Saturday,6,Saturday,6
Liberation Day,2024-05-05,2024-05-05,True,NL,f41586f2-362e-4e9e-80f9-28a815990995,[],Sunday,7,Sunday,7
Early May Bank Holiday,2024-05-06,2024-05-06,True,GB,ce95093d-48e2-4a13-b289-0f1f22bddc14,[],Monday,1,Monday,1
Feast of the Ascension of Jesus Christ,2024-05-09,2024-05-09,True,NL,1446ceeb-c3c7-438d-9f30-9dd20e33cd85,[],Thursday,4,Thursday,4
Mother's Day,2024-05-12,2024-05-12,False,NL,7b8e5dca-fecb-4813-8bd8-c52d3f9b9673,[],Sunday,7,Sunday,7
Pentecost,2024-05-19,2024-05-19,True,NL,2e0cb95d-2f33-422f-afe5-870738920729,[],Sunday,7,Sunday,7
Pentecost Monday,2024-05-20,2024-05-20,True,NL,3edf8a91-f7f9-47bf-8969-ffc5397bbd02,[],Monday,1,Monday,1
Spring Bank Holiday,2024-05-27,2024-05-27,True,GB,a445f32d-768a-4cff-acbb-a44b6829593f,[],Monday,1,Monday,1
Father's Day,2024-06-16,2024-06-16,False,NL,c936c641-d865-49c4-a115-30b7575c354e,[],Sunday,7,Sunday,7
Father's Day,2024-06-16,2024-06-16,False,GB,b7698a21-2184-44e1-8bf5-8bd1420938f4,[],Sunday,7,Sunday,7
June Solstice,2024-06-20,2024-06-20,False,NL,1efb403e-1333-437c-932e-1ba6edf5a780,[],Thursday,4,Thursday,4
June Solstice,2024-06-20,2024-06-20,False,GB,5c98a9d0-0eb8-4306-b002-9083bec69e4b,[],Thursday,4,Thursday,4
Battle of the Boyne (Orangemen's Day),2024-07-12,2024-07-12,True,GB,8beab85e-2bcf-4c36-8f0d-687e6d34cf70,['GB-NIR'],Friday,5,Friday,5
Summer Bank Holiday,2024-08-05,2024-08-05,True,GB,e6885f35-7933-4a8e-81d7-2f1339064d68,['GB-SCT'],Monday,1,Monday,1
Summer Bank Holiday,2024-08-26,2024-08-26,True,GB,dfa658e7-e6be-4eb4-a088-bbf0c7b41794,"['GB-ENG', 'GB-NIR', 'GB-WLS', 'GB-EAW']",Monday,1,Monday,1
September Equinox,2024-09-22,2024-09-22,False,NL,71eb54b5-06c6-4aa7-86d3-1506a8fa7e46,[],Sunday,7,Sunday,7
September Equinox,2024-09-22,2024-09-22,False,GB,8317b7a5-7ea5-41a2-a068-9bcb1147e2a8,[],Sunday,7,Sunday,7
Saint Andrew's Day,2024-11-30,2024-12-02,True,GB,7d53881d-d31b-4683-868c-22c093d19e08,['GB-SCT'],Saturday,6,Monday,1
Saint Nicholas' Eve,2024-12-05,2024-12-05,False,NL,32601bc4-0811-4b7b-ad86-a79846861998,[],Thursday,4,Thursday,4
Saint Nicholas' Day,2024-12-06,2024-12-06,False,NL,011dea38-047d-4336-898e-a6208c16ebb7,[],Friday,5,Friday,5
December Solstice,2024-12-21,2024-12-21,False,NL,af8288c3-3272-48ed-9514-6388d8e43ae8,[],Saturday,6,Saturday,6
December Solstice,2024-12-21,2024-12-21,False,GB,073e9353-f559-415d-bc94-ce3d45694855,[],Saturday,6,Saturday,6
Christmas Eve,2024-12-24,2024-12-24,False,NL,e3bd0410-4ce5-4b8e-9527-57a0d32ab0b2,[],Tuesday,2,Tuesday,2
Christmas Eve,2024-12-24,2024-12-24,False,GB,263c1ca4-f1f1-4b49-89cf-feabd6c86ece,[],Tuesday,2,Tuesday,2
Christmas Day,2024-12-25,2024-12-25,True,NL,36c875bc-ac7c-4426-bc56-c7e9f663fb2f,[],Wednesday,3,Wednesday,3
Christmas Day,2024-12-25,2024-12-25,True,GB,41eb5678-2ada-4d0e-ae60-65595afb476c,[],Wednesday,3,Wednesday,3
Boxing Day,2024-12-26,2024-12-26,True,NL,03fdd6c3-e145-487d-a252-3e86db00e970,[],Thursday,4,Thursday,4
Boxing Day,2024-12-26,2024-12-26,True,GB,b3f105ee-284e-497c-8d62-5199b48938c9,[],Thursday,4,Thursday,4
New Year's Eve,2024-12-31,2024-12-31,False,NL,227eeaf5-66e8-4e8a-aad8-b4c02b84bd35,[],Tuesday,2,Tuesday,2
New Year's Eve,2024-12-31,2024-12-31,False,GB,dde02dcf-2e75-4228-919d-d4be85bf0f58,[],Tuesday,2,Tuesday,2
